,active,cases,deaths,state,tests,testsPerOneMillion,todayCases,todayDeaths
0,229824,298004,22623,New York,826095,42108,0,0
1,106143,113856,6442,New Jersey,227390,25602,2668,398
2,45341,56462,3003,Massachusetts,244887,35854,0,0
3,43294,45883,1983,Illinois,227628,17754,0,0
4,40088,45218,1793,California,526084,13438,212,17
5,40712,43264,1860,Pennsylvania,209088,16346,109,0
6,26461,38210,3407,Michigan,163213,16391,0,0
7,30989,32846,1171,Florida,368651,17897,708,83
8,8182,27286,1801,Louisiana,151108,32401,218,61
9,14311,26171,690,Texas,300384,10772,655,18
10,23920,25997,2012,Connecticut,90746,25337,0,0
11,23550,24606,1025,Georgia,140020,13597,381,31
12,17834,20113,1016,Maryland,107785,17954,626,71
13,15642,16588,932,Indiana,87181,13135,627,0
14,15452,16325,753,Ohio,119391,10255,0,0
15,12032,14339,492,Virginia,82753,9835,804,34
16,12614,13879,706,Colorado,66341,11994,0,0
17,11114,13686,765,Washington,179679,24633,0,0
18,5014,9918,184,Tennessee,154402,23215,0,0
19,7924,9568,342,North Carolina,112752,11102,153,6
20,7345,7926,239,Rhode Island,57693,54602,218,6
21,6392,7239,300,Missouri,70932,11647,0,0
22,6371,6716,275,Arizona,66543,9579,0,0
23,6382,6644,242,Alabama,75138,15446,105,14
24,4076,6376,136,Iowa,39823,12713,508,9
25,6103,6342,239,Mississippi,64412,21551,248,10
26,3487,6081,281,Wisconsin,67392,11663,0,0
27,1735,5613,177,South Carolina,52145,10522,0,0
28,1939,4805,219,Nevada,47821,16361,115,0
29,3342,4575,137,Delaware,21180,22307,413,12
30,3304,4233,41,Utah,100195,32901,0,0
31,1968,4181,301,Minnesota,63829,11548,365,15
32,2811,4146,213,Kentucky,48799,10990,0,0
33,3144,3994,190,District Of Columbia,18885,27590,102,5
34,943,3410,207,Oklahoma,53012,13530,130,10
35,3280,3358,56,Nebraska,23772,12480,0,0
36,2671,3296,122,Kansas,25199,8663,0,0
37,1965,3069,51,Arkansas,40629,13585,0,0
38,2069,2823,104,New Mexico,58803,28103,0,0
39,2262,2354,92,Oregon,51198,12543,0,0
40,918,2245,11,South Dakota,15596,18045,0,0
41,1080,1938,60,New Hampshire,20145,14993,0,0
42,820,1917,58,Idaho,19895,11787,0,0
43,559,1077,37,West Virginia,43227,23634,14,1
44,404,1040,51,Maine,17807,13360,17,0
45,563,991,19,North Dakota,23723,31538,49,0
46,815,862,47,Vermont,15215,24345,7,0
47,98,607,16,Hawaii,29247,20567,0,0
48,170,520,7,Wyoming,8167,14037,0,0
49,80,451,15,Montana,13191,12663,2,1
50,118,345,9,Alaska,16256,22012,0,0
51,10,144,5,Guam,605,0,2,0
52,0,14,2,Northern Mariana Islands,45,0,0,0
53,923,1400,86,Puerto Rico,13022,3845,11,2
54,4,59,4,United States Virgin Islands,835,0,0,0
55,6566,7001,435,Veteran Affairs,83372,0,0,0
56,4497,6568,27,US Military,0,0,0,0
57,1657,1716,59,Navajo Nation,9753,0,0,0
58,834,1376,28,Federal Prisons,0,0,0,0
59,100,103,3,Grand Princess Ship,0,0,0,0
60,3,3,0,Wuhan Repatriated,3,0,0,0
61,46,46,0,Diamond Princess Ship,46,0,0,0
